00035223	00305	tx	[0x3F]
00035284	00306	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00035424	00307	tx	[0x3F]
00035492	00308	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00035623	00309	tx	[0x3F]
00035692	00310	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00035822	00311	tx	[0x3F]
00035883	00312	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|Ov:100,100,100>\r
00036022	00313	tx	[0x3F]
00036081	00314	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00036222	00315	tx	[0x3F]
00036281	00316	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00036422	00317	tx	[0x3F]
00036483	00318	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00036623	00319	tx	[0x3F]
00036683	00320	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|WCO:387.013,11.813,0.000>\r
00036822	00321	tx	[0x3F]
00036887	00322	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00037022	00323	tx	[0x3F]
00037086	00324	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00037222	00325	tx	[0x3F]
00037281	00326	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00037423	00327	tx	[0x3F]
00037483	00328	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00037623	00329	tx	[0x3F]
00037684	00330	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00037823	00331	tx	[0x3F]
00037887	00332	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|Ov:100,100,100>\r
00038023	00333	tx	[0x3F]
00038083	00334	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00038222	00335	tx	[0x3F]
00038282	00336	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00038422	00337	tx	[0x3F]
00038482	00338	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00038623	00339	tx	[0x3F]
00038694	00340	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|WCO:387.013,11.813,0.000>\r
00038822	00341	tx	[0x3F]
00038882	00342	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00039022	00343	tx	[0x3F]
00039081	00344	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00039222	00345	tx	[0x3F]
00039291	00346	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00039423	00347	tx	[0x3F]
00039489	00348	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00039622	00349	tx	[0x3F]
00039682	00350	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00039822	00351	tx	[0x3F]
00039883	00352	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|Ov:100,100,100>\r
00040022	00353	tx	[0x3F]
00040084	00354	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00040222	00355	tx	[0x3F]
00040281	00356	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00040423	00357	tx	[0x3F]
00040503	00358	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00040623	00359	tx	[0x3F]
00040684	00360	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|WCO:387.013,11.813,0.000>\r
00040824	00361	tx	[0x3F]
00040886	00362	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00041023	00363	tx	[0x3F]
00041082	00364	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00041226	00365	tx	[0x3F]
00041285	00366	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00041423	00367	tx	[0x3F]
00041482	00368	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00041623	00369	tx	[0x3F]
00041682	00370	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00041824	00371	tx	[0x3F]
00041885	00372	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|Ov:100,100,100>\r
00042023	00373	tx	[0x3F]
00042083	00374	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00042223	00375	tx	[0x3F]
00042283	00376	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00042424	00377	tx	[0x3F]
00042484	00378	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00042623	00379	tx	[0x3F]
00042686	00380	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|WCO:387.013,11.813,0.000>\r
00042823	00381	tx	[0x3F]
00042883	00382	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00043024	00383	tx	[0x3F]
00043084	00384	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00043223	00385	tx	[0x3F]
00043282	00386	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00043424	00387	tx	[0x3F]
00043484	00388	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00043623	00389	tx	[0x3F]
00043686	00390	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00043823	00391	tx	[0x3F]
00043882	00392	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|Ov:100,100,100>\r
00044024	00393	tx	[0x3F]
00044083	00394	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00044223	00395	tx	[0x3F]
00044283	00396	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00044423	00397	tx	[0x3F]
00044483	00398	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00044622	00399	tx	[0x3F]
00044685	00400	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|WCO:387.013,11.813,0.000>\r
00044822	00401	tx	[0x3F]
00044881	00402	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00045022	00403	tx	[0x3F]
00045081	00404	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00045222	00405	tx	[0x3F]
00045283	00406	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00045422	00407	tx	[0x3F]
00045483	00408	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00045622	00409	tx	[0x3F]
00045681	00410	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00045822	00411	tx	[0x3F]
00045901	00412	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|Ov:100,100,100>\r
00046023	00413	tx	[0x3F]
00046089	00414	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00046222	00415	tx	[0x3F]
00046282	00416	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00046422	00417	tx	[0x3F]
00046481	00418	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00046623	00419	tx	[0x3F]
00046687	00420	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|WCO:387.013,11.813,0.000>\r
00046822	00421	tx	[0x3F]
00046882	00422	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00047023	00423	tx	[0x3F]
00047082	00424	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00047103	00425	tx	G90\n
00047107	00426	tx	G0X0Y0\n
00047108	00427	tx	M4S0\n
00047109	00428	tx	F1000\n
00047110	00429	tx	G0X38.588Y10.125S0\n
00047111	00430	tx	G1X38.7S36\n
00047112	00431	tx	X38.812S44\n
00047114	00432	tx	X38.925S48\n
00047116	00433	tx	X39.038S45\n
00047116	00434	tx	X39.262S37\n
00047117	00435	tx	X39.375S45\n
00047118	00436	tx	X39.488S46\n
00047160	00437	rx	ok\r
00047162	00438	tx	X39.712S45\n
